f1,acc,meanprec,meanrec
0.7360037609031351,0.7662337662337663,0.7459742351046699,0.7262962962962962
0.710241373431875,0.7402597402597403,0.7142307692307692,0.7062962962962962
0.7062721317953161,0.7402597402597403,0.7149758454106281,0.6977777777777778
0.7480330644358132,0.7662337662337663,0.7442528735632183,0.7518518518518519
0.6692926842093403,0.7012987012987013,0.670814479638009,0.6677777777777778
0.7062721317953161,0.7402597402597403,0.7149758454106281,0.6977777777777778
0.6894736842105263,0.7272727272727273,0.7,0.6792592592592592
0.7360037609031351,0.7662337662337663,0.7459742351046699,0.7262962962962962
0.7158092760301767,0.7236842105263158,0.7064834390415786,0.7253846153846153
0.6558574156232656,0.6842105263157895,0.6532738095238095,0.6584615384615384
