f1,acc,meanprec,meanrec
0.9125506072874493,0.9166666666666666,0.9423076923076923,0.8846153846153846
0.939799331103679,0.9444444444444444,0.939799331103679,0.939799331103679
1.0,1.0,1.0,1.0
0.8476018248325182,0.8611111111111112,0.8541666666666667,0.8411371237458194
0.90893760539629,0.9166666666666666,0.9166666666666666,0.9013377926421404
0.8829431438127091,0.8857142857142857,0.9230769230769231,0.8461538461538461
0.937037037037037,0.9411764705882353,0.9583333333333333,0.9166666666666667
1.0,1.0,1.0,1.0
0.836648146657004,0.8529411764705882,0.8438735177865613,0.8295454545454546
0.9356060606060606,0.9411764705882353,0.9356060606060606,0.9356060606060606
