f1,acc,meanprec,meanrec
0.8431286549707603,0.8421052631578947,0.8777777777777778,0.8111111111111112
0.9456681350954478,0.9444444444444444,0.9583333333333334,0.9333333333333332
0.9012092174309835,0.8888888888888888,0.9259259259259259,0.8777777777777779
0.8951367781155015,0.8888888888888888,0.9047619047619048,0.8857142857142858
0.8951367781155015,0.8888888888888888,0.9047619047619048,0.8857142857142858
0.8411949685534591,0.8333333333333334,0.8333333333333334,0.8492063492063492
0.9483960948396096,0.9444444444444444,0.9444444444444445,0.9523809523809524
0.7880560750651385,0.7777777777777778,0.7936507936507936,0.7825396825396825
1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0
