f1,acc,meanprec,meanrec
0.7648259892646941,0.9137931034482759,0.7403513026607539,0.7909741773378137
0.8841545544060389,0.9597701149425287,0.8721254355400696,0.8965201465201466
0.8678151789773422,0.9195402298850575,0.878804347826087,0.857097448006539
0.8850285561710962,0.9425287356321839,0.8714752567693744,0.8990100808282627
0.8222704468321358,0.9421965317919075,0.8050595238095238,0.8402333312620395
0.8435793226309561,0.9534883720930233,0.8488095238095239,0.8384131817146172
0.9250141209213559,0.9418604651162791,0.9283653846153846,0.9216869653472525
0.870991748488392,0.9476744186046512,0.8812500000000001,0.8609695726920608
0.7986569660775645,0.9418604651162791,0.7966908797417273,0.800632780297852
0.8235039052627523,0.9122807017543859,0.8379032258064516,0.8095911265767726
